t_start,P_bess_kW,I_dis_A,I_ch_A,C_dch,C_ch,T_degC,EFC_start,EFC_end,dSOH_cyc_pp,dSOH_cal_pp
01-Jan-2023 00:00:00,1.29014761402945,3.29119289293226,0,0.00164477405943641,0,25,0,0.00164477405943641,2.00416559001713e-05,0.0379494800164402
01-Jan-2023 01:00:00,8.27470835105482,21.1089498751398,0,0.0105492003374012,0,25,0.00164477405943641,0.0121939743968376,9.44942447762828e-05,0.0157060723187554
01-Jan-2023 02:00:00,31.3176113124109,79.8918655928849,0,0.0399259698115367,0,25,0.0121939743968376,0.0521199442083743,0.000292854924316951,0.011989291115201
01-Jan-2023 03:00:00,88.7688119452317,226.451050880693,0,0.113168940969862,0,25,0.0521199442083743,0.165288885178236,0.000720498494819378,0.0099215760045902
01-Jan-2023 04:00:00,129.93415414665,331.464678945537,0,0.165649514715411,0,25,0.165288885178236,0.330938399893647,0.000956530310387925,0.00804818814773402
01-Jan-2023 05:00:00,93.132691608552,237.583396960592,0,0.118732332314139,0,25,0.330938399893647,0.449670732207785,0.000635129865821586,0.0048897084336146
01-Jan-2023 06:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00295052154310216
01-Jan-2023 07:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.0027462784914591
01-Jan-2023 08:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00257936115094362
01-Jan-2023 09:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00243962043350471
01-Jan-2023 10:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.0023203958712885
01-Jan-2023 11:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.0022171103208791
01-Jan-2023 12:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00212650022982906
01-Jan-2023 13:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00204616735249999
01-Jan-2023 14:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00197430437283287
01-Jan-2023 15:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00190951991584211
01-Jan-2023 16:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00185072301033057
01-Jan-2023 17:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00179704451159216
01-Jan-2023 18:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00174778227412793
01-Jan-2023 19:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00170236202997695
01-Jan-2023 20:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00166030891737456
01-Jan-2023 21:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00162122639387617
01-Jan-2023 22:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00158478037183384
01-Jan-2023 23:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00155068711323074
02-Jan-2023 00:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00151870387433339
02-Jan-2023 01:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00148862159108037
02-Jan-2023 02:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00146025909908992
02-Jan-2023 03:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00143345852170063
02-Jan-2023 04:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00140808155693514
02-Jan-2023 05:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00138400646337761
02-Jan-2023 06:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00136112559461141
02-Jan-2023 07:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00133934336799404
02-Jan-2023 08:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00131857458013929
02-Jan-2023 09:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00129874300126617
02-Jan-2023 10:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00127978019544306
02-Jan-2023 11:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.0012616245250387
02-Jan-2023 12:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00124422030632304
02-Jan-2023 13:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00122751708982394
02-Jan-2023 14:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00121146904422384
02-Jan-2023 15:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00119603442663857
02-Jan-2023 16:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00118117512531959
02-Jan-2023 17:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00116685626336049
02-Jan-2023 18:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00115304585401702
02-Jan-2023 19:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.0011397144998799
02-Jan-2023 20:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00112683512945502
02-Jan-2023 21:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00111438276577508
02-Jan-2023 22:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00110233432253881
02-Jan-2023 23:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00109066842398928
03-Jan-2023 00:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00107936524533173
03-Jan-2023 01:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00106840637097913
03-Jan-2023 02:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00105777466831855
03-Jan-2023 03:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00104745417502874
03-Jan-2023 04:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00103742999826315
03-Jan-2023 05:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00102768822424854
03-Jan-2023 06:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00101821583705197
03-Jan-2023 07:00:00,0,0,0,0,0,25,0.449670732207785,0.449670732207785,0,0.00100900064543633
03-Jan-2023 08:00:00,-13.4208533230475,0,32.8810906414664,0,0.0164323291561551,25,0.449670732207785,0.449670732207785,0,0.00100003121686953
03-Jan-2023 09:00:00,-191.120428036104,0,468.245048688456,0,0.234005521583436,25,0.449670732207785,0.449670732207785,0,0.00105658707779885
03-Jan-2023 10:00:00,-242.468733976373,0,594.048398242114,0,0.296875761240437,25,0.449670732207785,0.449670732207785,0,0.00212600804649321
03-Jan-2023 11:00:00,-125.532142233323,0,307.553748471642,0,0.153700024223709,25,0.449670732207785,0.449670732207785,0,0.00266235546137231
03-Jan-2023 12:00:00,62.7461970957844,160.06682932598,0,0.0799934179540132,0,25,0.449670732207785,0.529664150161799,0.00041088152838017,0.00342726602313198
03-Jan-2023 13:00:00,217.127981224534,553.897911287077,0,0.276810550368354,0,25,0.529664150161799,0.806474700530153,0.00144919416743522,0.00294946156575382
03-Jan-2023 14:00:00,71.7287551148639,182.981518150163,0,0.0914450365568032,0,25,0.806474700530153,0.897919737086956,0.000438514568436864,0.00227498874340049
03-Jan-2023 15:00:00,198.204528108632,505.623796195489,0,0.252685555320085,0,25,0.897919737086956,1.15060529240704,0.00124087085586796,0.00204816357185683
03-Jan-2023 16:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000935959236382483
03-Jan-2023 17:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000928786817850913
03-Jan-2023 18:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000921776805398483
03-Jan-2023 19:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000914923161029257
03-Jan-2023 20:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000908220156426359
03-Jan-2023 21:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000901662352825711
03-Jan-2023 22:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000895244582465288
03-Jan-2023 23:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000888961931466925
04-Jan-2023 00:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000882809724021355
04-Jan-2023 01:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000876783507760714
04-Jan-2023 02:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000870879040215072
04-Jan-2023 03:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000865092276258722
04-Jan-2023 04:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000859419356462304
04-Jan-2023 05:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000853856596274211
04-Jan-2023 06:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000848400475962435
04-Jan-2023 07:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000843047631254951
04-Jan-2023 08:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00083779484462107
04-Jan-2023 09:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000832639037143645
04-Jan-2023 10:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000827577260934242
04-Jan-2023 11:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000822606692050115
04-Jan-2023 12:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000817724623873084
04-Jan-2023 13:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000812928460915852
04-Jan-2023 14:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000808215713023447
04-Jan-2023 15:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000803583989939988
04-Jan-2023 16:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000799030996214312
04-Jan-2023 17:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000794554526419439
04-Jan-2023 18:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000790152460663329
04-Jan-2023 19:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000785822760370619
04-Jan-2023 20:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000781563464315432
04-Jan-2023 21:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000777372684888367
04-Jan-2023 22:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000773248604581472
04-Jan-2023 23:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000769189472676235
05-Jan-2023 00:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000765193602120379
05-Jan-2023 01:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000761259366581918
05-Jan-2023 02:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00075738519766777
05-Jan-2023 03:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00075356958229672
05-Jan-2023 04:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000749811060216238
05-Jan-2023 05:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000746108221654523
05-Jan-2023 06:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000742459705098703
05-Jan-2023 07:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000738864195191286
05-Jan-2023 08:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000735320420737845
05-Jan-2023 09:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000731827152818609
05-Jan-2023 10:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000728383202997895
05-Jan-2023 11:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000724987421625467
05-Jan-2023 12:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000721638696224047
05-Jan-2023 13:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000718335949957932
05-Jan-2023 14:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00071507814017846
05-Jan-2023 15:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000711864257040812
05-Jan-2023 16:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000708693322188952
05-Jan-2023 17:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000705564387504437
05-Jan-2023 18:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000702476533915253
05-Jan-2023 19:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00069942887026167
05-Jan-2023 20:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000696420532215719
05-Jan-2023 21:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000693450681251262
05-Jan-2023 22:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00069051850366228
05-Jan-2023 23:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000687623209625982
06-Jan-2023 00:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000684764032309021
06-Jan-2023 01:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000681940227014455
06-Jan-2023 02:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000679151070366618
06-Jan-2023 03:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000676395859532719
06-Jan-2023 04:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000673673911478934
06-Jan-2023 05:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000670984562258697
06-Jan-2023 06:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000668327166332694
06-Jan-2023 07:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000665701095917764
06-Jan-2023 08:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000663105740363656
06-Jan-2023 09:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000660540505556834
06-Jan-2023 10:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000658004813348906
06-Jan-2023 11:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000655498101009205
06-Jan-2023 12:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000653019820700373
06-Jan-2023 13:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000650569438975124
06-Jan-2023 14:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000648146436294045
06-Jan-2023 15:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000645750306562803
06-Jan-2023 16:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000643380556687945
06-Jan-2023 17:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000641036706150844
06-Jan-2023 18:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000638718286598255
06-Jan-2023 19:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000636424841449129
06-Jan-2023 20:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000634155925516883
06-Jan-2023 21:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000631911104646554
06-Jan-2023 22:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000629689955365609
06-Jan-2023 23:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000627492064548346
07-Jan-2023 00:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000625317029093325
07-Jan-2023 01:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000623164455612529
07-Jan-2023 02:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000621033960132716
07-Jan-2023 03:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00061892516780751
07-Jan-2023 04:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000616837712640456
07-Jan-2023 05:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000614771237218148
07-Jan-2023 06:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000612725392453106
07-Jan-2023 07:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000610699837336193
07-Jan-2023 08:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000608694238697721
07-Jan-2023 09:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00060670827097728
07-Jan-2023 10:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000604741616001686
07-Jan-2023 11:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00060279396277102
07-Jan-2023 12:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000600865007251872
07-Jan-2023 13:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00059895445217803
07-Jan-2023 14:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000597062006857996
07-Jan-2023 15:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000595187386989271
07-Jan-2023 16:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000593330314479001
07-Jan-2023 17:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000591490517270421
07-Jan-2023 18:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00058966772917568
07-Jan-2023 19:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000587861689714086
07-Jan-2023 20:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000586072143955507
07-Jan-2023 21:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000584298842369324
07-Jan-2023 22:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000582541540678438
07-Jan-2023 23:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000580799999717718
08-Jan-2023 00:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000579073985297329
08-Jan-2023 01:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000577363268070452
08-Jan-2023 02:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000575667623405218
08-Jan-2023 03:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000573986831261031
08-Jan-2023 04:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000572320676068327
08-Jan-2023 05:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000570668946612507
08-Jan-2023 06:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.00056903143592163
08-Jan-2023 07:00:00,0,0,0,0,0,25,1.15060529240704,1.15060529240704,0,0.000567407941157394
