Run,RMSE_Train,MAE_Train,R2_Train,RMSE_Val,MAE_Val,R2_Val,RMSE_Test,MAE_Test,R2_Test
1,0.00771660590544343,0.00538897328078747,0.990886151790619,0.00983722973614931,0.00650726817548275,0.980401396751404,0.00753174908459187,0.00540727470070124,0.991359531879425
2,0.00864103250205517,0.00580125115811825,0.987882077693939,0.00967104732990265,0.00661000516265631,0.987224638462067,0.00892945192754269,0.00618074322119355,0.986866474151611
Mean,0.0081788192037493,0.00559511221945286,0.989384114742279,0.00975413853302598,0.00655863666906953,0.983813017606735,0.00823060050606728,0.00579400896094739,0.989113003015518
Std,0.000653668315173361,0.00029152448279379,0.00212420116494906,0.000117508706370912,7.26460203090977e-05,0.00482476048328459,0.000988325158334242,0.000546924835874442,0.0031770715875997
