Hour,P_el,P_fc,m_H2_prev,m_dot_el,m_dot_fc,eta_el,i_sol,V_cell,eta_F,P_comp,m_H2,P_tank_bar
0,0,0,0,0,0,0,0,0,0,0,100,239.230057523148
1,0,0,100,0,0,0,0,0,0,0,100,239.230057523148
2,0,0,100,0,0,0,0,0,0,0,100,239.230057523148
3,0,0,100,0,0,0,0,0,0,0,100,239.230057523148
4,0,0,100,0,0,0,0,0,0,0,100,239.230057523148
5,0,0,100,0,0,0,0,0,0,0,100,239.230057523148
6,258.819045102521,0,100,4.74267975681641,0,0.64282656666679,0.761342099738557,1.93986368892603,0.994778717738891,12.9152127292884,100,239.230057523148
7,500,0,100,8.72066247837858,0,0.611938950630873,1.39659319555979,2.04264330380186,0.997153657906513,25.0185004489337,104.742679756816,250.575973033519
8,707.106781186547,200,104.742679756816,11.9825269117473,12.2461225714408,0.594581842261407,1.91748609549275,2.10390256550108,0.997926878317739,35.4118292358437,113.463342235195,271.438418896943
9,866.025403784439,200,113.463342235195,14.4129825561667,12.2461225714408,0.583956030209448,2.30560985558189,2.14293485821988,0.998275865281207,43.3869109089783,113.199746575501,270.80781884863
10,965.925826289068,200,113.199746575501,15.9132699045333,12.2461225714408,0.578064855709476,2.54519339548282,2.16512587633024,0.998438161120858,48.4002568317592,115.366606560227,275.991599236536
11,1000,200,115.366606560227,16.4205051423601,12.2461225714408,0.576167304331353,2.62619468765085,2.17236131654253,0.998486333850764,50.1102157644945,119.03375389332,284.764517910952
12,965.925826289068,200,119.03375389332,15.9132699045333,12.2461225714408,0.578064855709476,2.54519339548282,2.16512587633024,0.998438161120858,48.4002568317592,123.208136464239,294.750895736598
13,866.025403784439,200,123.208136464239,14.4129825561667,12.2461225714408,0.583956030209448,2.30560985558189,2.14293485821988,0.998275865281207,43.3869109089783,126.875283797332,303.523814411014
14,707.106781186548,200,126.875283797332,11.9825269117473,12.2461225714408,0.594581842261407,1.91748609549275,2.10390256550108,0.997926878317739,35.4118292358437,129.042143782058,308.70759479892
15,500,200,129.042143782058,8.72066247837858,12.2461225714408,0.611938950630873,1.39659319555979,2.04264330380186,0.997153657906513,25.0185004489337,128.778548122364,308.076994750606
16,258.819045102521,50,128.778548122364,4.74267975681641,3.0615306428602,0.64282656666679,0.761342099738558,1.93986368892603,0.994778717738892,12.9152127292884,125.253088029302,299.643034542018
17,1.22464679914735e-13,50,125.253088029302,0,3.0615306428602,0,4.44089209850063e-16,1.26848464049442,0,0,126.934237143258,303.664848534385
18,0,50,126.934237143258,0,3.0615306428602,0,0,0,0,0,123.872706500398,296.340747016382
19,0,50,123.872706500398,0,3.0615306428602,0,0,0,0,0,120.811175857538,289.016645498379
20,0,50,120.811175857538,0,3.0615306428602,0,0,0,0,0,117.749645214677,281.692543980375
21,0,50,117.749645214677,0,3.0615306428602,0,0,0,0,0,114.688114571817,274.368442462372
22,0,50,114.688114571817,0,3.0615306428602,0,0,0,0,0,111.626583928957,267.044340944369
23,0,50,111.626583928957,0,3.0615306428602,0,0,0,0,0,108.565053286097,259.720239426366
24,0,50,108.565053286097,0,3.0615306428602,0,0,0,0,0,105.503522643237,252.396137908362
25,0,50,105.503522643237,0,3.0615306428602,0,0,0,0,0,102.441992000376,245.072036390359
26,0,50,102.441992000376,0,3.0615306428602,0,0,0,0,0,99.3804613575161,237.747934872356
27,0,50,99.3804613575161,0,3.0615306428602,0,0,0,0,0,96.3189307146559,230.423833354353
28,0,50,96.3189307146559,0,3.0615306428602,0,0,0,0,0,93.2574000717957,223.099731836349
29,0,50,93.2574000717957,0,3.0615306428602,0,0,0,0,0,90.1958694289355,215.775630318346
30,258.819045102521,50,90.1958694289355,4.74267975681641,3.0615306428602,0.64282656666679,0.761342099738558,1.93986368892603,0.994778717738892,12.9152127292884,87.1343387860753,208.451528800343
31,500,50,87.1343387860753,8.72066247837858,3.0615306428602,0.611938950630873,1.39659319555979,2.04264330380186,0.997153657906513,25.0185004489337,88.8154879000315,212.47334279271
32,707.106781186547,200,88.8154879000315,11.9825269117473,12.2461225714408,0.594581842261407,1.91748609549275,2.10390256550108,0.997926878317739,35.4118292358437,94.4746197355499,226.011687138131
33,866.025403784438,200,94.4746197355499,14.4129825561667,12.2461225714408,0.583956030209448,2.30560985558189,2.14293485821988,0.998275865281207,43.3869109089783,94.2110240758563,225.381087089818
34,965.925826289068,200,94.2110240758563,15.9132699045333,12.2461225714408,0.578064855709476,2.54519339548282,2.16512587633024,0.998438161120858,48.4002568317592,96.3778840605822,230.564867477724
35,1000,200,96.3778840605822,16.4205051423601,12.2461225714408,0.576167304331353,2.62619468765085,2.17236131654253,0.998486333850764,50.1102157644945,100.045031393675,239.33778615214
36,965.925826289068,200,100.045031393675,15.9132699045333,12.2461225714408,0.578064855709476,2.54519339548282,2.16512587633024,0.998438161120858,48.4002568317592,104.219413964594,249.324163977786
37,866.025403784439,200,104.219413964594,14.4129825561667,12.2461225714408,0.583956030209448,2.30560985558189,2.14293485821988,0.998275865281207,43.3869109089783,107.886561297686,258.097082652202
38,707.106781186547,200,107.886561297686,11.9825269117473,12.2461225714408,0.594581842261407,1.91748609549275,2.10390256550108,0.997926878317739,35.4118292358437,110.053421282412,263.280863040108
39,500,200,110.053421282412,8.72066247837858,12.2461225714408,0.611938950630873,1.39659319555978,2.04264330380186,0.997153657906513,25.0185004489337,109.789825622719,262.650262991794
40,258.819045102521,125,109.789825622719,4.74267975681641,7.65382660715051,0.642826566666791,0.761342099738558,1.93986368892603,0.994778717738892,12.9152127292884,106.264365529657,254.216302783206
41,3.67394039744206e-13,0,106.264365529657,0,0,0,1.739532934679e-15,1.26848464049444,0,0,103.353218679322,247.251964498568
42,0,0,103.353218679322,0,0,0,0,0,0,0,103.353218679322,247.251964498568
43,0,0,103.353218679322,0,0,0,0,0,0,0,103.353218679322,247.251964498568
44,0,0,103.353218679322,0,0,0,0,0,0,0,103.353218679322,247.251964498568
45,0,0,103.353218679322,0,0,0,0,0,0,0,103.353218679322,247.251964498568
46,0,50,103.353218679322,0,3.0615306428602,0,0,0,0,0,103.353218679322,247.251964498568
47,0,50,103.353218679322,0,3.0615306428602,0,0,0,0,0,100.291688036462,239.927862980565
48,0,50,100.291688036462,0,3.0615306428602,0,0,0,0,0,97.2301573936021,232.603761462562
49,0,50,97.2301573936021,0,3.0615306428602,0,0,0,0,0,94.1686267507419,225.279659944558
50,0,50,94.1686267507419,0,3.0615306428602,0,0,0,0,0,91.1070961078817,217.955558426555
51,0,50,91.1070961078817,0,3.0615306428602,0,0,0,0,0,88.0455654650215,210.631456908552
52,0,50,88.0455654650215,0,3.0615306428602,0,0,0,0,0,84.9840348221613,203.307355390549
53,0,50,84.9840348221613,0,3.0615306428602,0,0,0,0,0,81.9225041793011,195.983253872545
54,258.81904510252,50,81.9225041793011,4.7426797568164,3.0615306428602,0.642826566666791,0.761342099738555,1.93986368892603,0.994778717738891,12.9152127292883,78.8609735364409,188.659152354542
55,500.000000000001,50,78.8609735364409,8.72066247837859,3.0615306428602,0.611938950630873,1.39659319555979,2.04264330380186,0.997153657906513,25.0185004489337,80.542122650397,192.680966346909
56,707.106781186547,200,80.542122650397,11.9825269117473,12.2461225714408,0.594581842261407,1.91748609549275,2.10390256550107,0.997926878317739,35.4118292358436,86.2012544859154,206.219310692331
57,866.025403784439,200,86.2012544859154,14.4129825561667,12.2461225714408,0.583956030209448,2.30560985558189,2.14293485821988,0.998275865281207,43.3869109089783,85.9376588262219,205.588710644017
58,965.925826289068,200,85.9376588262219,15.9132699045333,12.2461225714408,0.578064855709476,2.54519339548282,2.16512587633024,0.998438161120858,48.4002568317592,88.1045188109478,210.772491031923
59,1000,200,88.1045188109478,16.4205051423601,12.2461225714408,0.576167304331353,2.62619468765085,2.17236131654253,0.998486333850764,50.1102157644945,91.7716661440403,219.545409706339
60,965.925826289068,200,91.7716661440403,15.9132699045333,12.2461225714408,0.578064855709476,2.54519339548282,2.16512587633024,0.998438161120858,48.4002568317592,95.9460487149595,229.531787531985
61,866.025403784439,200,95.9460487149595,14.4129825561667,12.2461225714408,0.583956030209448,2.30560985558189,2.14293485821988,0.998275865281207,43.3869109089784,99.613196048052,238.304706206401
62,707.106781186549,200,99.613196048052,11.9825269117473,12.2461225714408,0.594581842261407,1.91748609549276,2.10390256550108,0.997926878317739,35.4118292358437,101.780056032778,243.488486594307
63,500,200,101.780056032778,8.72066247837858,12.2461225714408,0.611938950630873,1.39659319555979,2.04264330380186,0.997153657906513,25.0185004489337,101.516460373084,242.857886545994
64,258.819045102521,150,101.516460373084,4.74267975681641,9.18459192858061,0.64282656666679,0.761342099738558,1.93986368892603,0.994778717738892,12.9152127292884,97.9910002800222,234.423926337405
65,2.38868023897393e-12,0,97.9910002800222,0,0,0,1.13098948175774e-14,1.26848464049456,0,0,93.549088108258,223.797537293766
66,0,0,93.549088108258,0,0,0,0,0,0,0,93.549088108258,223.797537293766
67,0,0,93.549088108258,0,0,0,0,0,0,0,93.549088108258,223.797537293766
68,0,0,93.549088108258,0,0,0,0,0,0,0,93.549088108258,223.797537293766
69,0,0,93.549088108258,0,0,0,0,0,0,0,93.549088108258,223.797537293766
70,0,50,93.549088108258,0,3.0615306428602,0,0,0,0,0,93.549088108258,223.797537293766
71,0,50,93.549088108258,0,3.0615306428602,0,0,0,0,0,90.4875574653978,216.473435775763
72,0,50,90.4875574653978,0,3.0615306428602,0,0,0,0,0,87.4260268225376,209.149334257759
73,0,50,87.4260268225376,0,3.0615306428602,0,0,0,0,0,84.3644961796773,201.825232739756
74,0,50,84.3644961796773,0,3.0615306428602,0,0,0,0,0,81.3029655368171,194.501131221753
75,0,50,81.3029655368171,0,3.0615306428602,0,0,0,0,0,78.2414348939569,187.17702970375
76,0,50,78.2414348939569,0,3.0615306428602,0,0,0,0,0,75.1799042510967,179.852928185746
77,0,50,75.1799042510967,0,3.0615306428602,0,0,0,0,0,72.1183736082365,172.528826667743
78,258.819045102518,50,72.1183736082365,4.74267975681636,3.0615306428602,0.642826566666791,0.76134209973855,1.93986368892603,0.994778717738891,12.9152127292882,69.0568429653763,165.20472514974
79,499.999999999999,50,69.0568429653763,8.72066247837856,3.0615306428602,0.611938950630873,1.39659319555978,2.04264330380186,0.997153657906513,25.0185004489336,70.7379920793325,169.226539142107
