Hour,P_el,P_fc,m_dot_el,m_dot_fc,eta_el,i_model,V,eta_F,P_comp,m_H2,P_tank_bar
57,621.323,135.044,11.4281147725633,7.36677304094046,0.618926272917092,1.8261727135895,2.02402047405166,0.999344610142634,5.90387491697328,25.6018157838726,51.5592546735657
58,787.896,134.755,13.8191944316269,7.35100782805553,0.590911707615489,2.20800845294119,2.12021780242583,0.999457948146579,8.43310483286715,29.6631575154954,59.7383523760432
59,891.344,131.066,15.2061556904265,7.14976952240679,0.575893423197171,2.42949474918335,2.17561690627663,0.999507364617813,11.2832999694092,36.1313441190667,72.7645722029884
60,885.433,125.748,15.0981072374174,6.85966778496031,0.577033664473912,2.41224030063993,2.1713101465025,0.999503840859483,13.3523135431455,44.1877302870865,88.9892521121058
61,757.706,123.157,13.3199370676917,6.71832637809235,0.596528915499466,2.1282811615637,2.10021012480208,0.999437642405571,13.4780322837192,52.4261697395436,105.580567408951
62,519.564,123.332,9.77169562850367,6.72787278727873,0.640145979456048,1.56165621111713,1.95671039315613,0.999233598876779,10.7884616848544,59.027780429143,118.875488740867
63,250.246,122.913,5.19640461700679,6.70501595614107,0.708946167026901,0.831019898143644,1.76562859683694,0.998559775672088,5.94512929896089,62.0716032703679,125.005414773332
64,45.954,125.716,1.06635719557361,6.85792215585195,0.794139527786023,0.171485321475409,1.56747280388098,0.993020655855625,1.19903681669787,60.5629919312336,121.967236665401
65,0.141,131.245,0,7.1595341352317,0,0.000612040712815386,1.38364463199083,0,0,54.7714269709553,110.303658766618
66,0,130.833,0,7.1370591604615,0,0,0,0,0,47.6118928357236,95.8851406842
67,0,124.615,0,6.79786160434225,0,0,0,0,0,40.4748336752621,81.5118847409108
68,0,120.605,0,6.57911245670021,0,0,0,0,0,33.6769720709198,67.821735547871
69,0,119.006,0,6.49188555219158,0,0,0,0,0,27.0978596142196,54.5721231944099
70,0,113.162,0,3.22667798591642,0,0,0,0,0,20.605974062028,41.4981762789752
71,0,107.433,0,0,0,0,0,0,0,17.3792960761116,35
72,0,102.752,0,0,0,0,0,0,0,17.3792960761116,35
73,0,100.21,0,0,0,0,0,0,0,17.3792960761116,35
74,0,98.682,0,0,0,0,0,0,0,17.3792960761116,35
75,0,98.066,0,0,0,0,0,0,0,17.3792960761116,35
76,0,96.014,0,0,0,0,0,0,0,17.3792960761116,35
77,0.281,93.973,4.85837738854914e-05,0,0.00576291066202544,0.00120461350305731,1.40095023533093,0.00644059588565749,1.40054966063821e-05,17.3792960761116,35
78,41.942,97.32,0.994849814790545,4.85837738857242e-05,0.796019176802334,0.160066181378211,1.5629874272156,0.992522748628221,0.286792068743458,17.3793446598855,35.0000978424027
79,194.441,105.546,4.20872319421599,0.994849814790545,0.726460796430836,0.673295305035374,1.72247794800051,0.998222392068778,1.3449034832844,18.3741458909021,37.0035186330435
80,433.99,111.58,8.49452211601449,4.20872319421599,0.65768709126699,1.35770211424162,1.90430371686791,0.999118470051912,3.50804910546918,21.5880192703276,43.4759078361083
81,716.678,114.953,12.8272819178492,6.27079071543518,0.602187773474324,2.0496081894306,2.08042916947672,0.999416056649043,6.71123356224933,25.8738181921261,52.107037751038
82,1002.885,117.879,16.6852052263161,6.43040667703134,0.560758660091961,2.665686785251,2.23443394394244,0.999551014364888,11.1608773588718,32.4303093945401,65.3110933744366
83,1211.119,115.701,19.2322418637588,6.31159479584322,0.53659358391626,3.07242757028812,2.33519879987516,0.99961045295718,16.526592389114,42.6851079438249,85.9631351863205
84,1240.042,111.822,19.5325511245607,6.09999181736355,0.533889251901759,3.12038448723892,2.34704143895256,0.999616439871695,20.65066244709,55.6057550117404,111.983904117154
