cond_id,T_degC,T_K,SOC_store,SOC_pct,t_h,Q_Ah,SOH_init,EFC,T_degC_n,SOC_store_n,t_h_n
TP_40C_100SOC,40,313.15,1,100,11575,2.70156453545954,0.902465586309081,0,0.205731333172674,1.47981814800065,0.442139449925493
TP_40C_100SOC,40,313.15,1,100,12211,2.69496212510153,0.900260031691901,0,0.205731333172674,1.47981814800065,0.541350512782044
TP_40C_100SOC,40,313.15,1,100,12844,2.68731804834882,0.897706505348969,0,0.205731333172674,1.47981814800065,0.640093598927007
TP_40C_100SOC,40,313.15,1,100,13481,2.68103647244215,0.895608126424775,0,0.205731333172674,1.47981814800065,0.739460654020753
TP_40C_100SOC,40,313.15,1,100,14119,2.67455066247168,0.893441522510316,0,0.205731333172674,1.47981814800065,0.838983701351695
TP_40C_100SOC,40,313.15,1,100,14695,2.66883439703043,0.891531987211335,0,0.205731333172674,1.47981814800065,0.928835229976496
TP_40C_100SOC,40,313.15,1,100,15148,2.66464728798699,0.890133271108784,0,0.205731333172674,1.47981814800065,0.999499713426209
TP_40C_100SOC,40,313.15,1,100,15811,2.65784815047521,0.887861999206734,0,0.205731333172674,1.47981814800065,1.10292256668705
TP_40C_100SOC,40,313.15,1,100,17001,2.61843226819492,0.874695007693084,0,0.205731333172674,1.47981814800065,1.28855332895009
TP_40C_100SOC,40,313.15,1,100,18239,2.60768942034896,0.871106327743862,0,0.205731333172674,1.47981814800065,1.48167171859853
TP_40C_100SOC,40,313.15,1,100,19190,2.60015739436624,0.868590232290516,0,0.205731333172674,1.47981814800065,1.63002033617177
TP_40C_100SOC,40,313.15,1,100,20163,2.59347190483089,0.866356924829565,0,0.205731333172674,1.47981814800065,1.78180078296332
TP_40C_100SOC,40,313.15,1,100,21241,2.5861176330101,0.863900208677309,0,0.205731333172674,1.47981814800065,1.94996041466043
TP_40C_12SOC,40,313.15,0.125,12.5,0,2.99404225310133,1,0,0.205731333172674,-1.10986361100049,-1.36347069561629
TP_40C_12SOC,40,313.15,0.125,12.5,160.33,3.00065842053856,1.00220977757758,0,0.205731333172674,-1.10986361100049,-1.33846046022668
TP_40C_12SOC,40,313.15,0.125,12.5,276.98,2.99823369530128,1.00139992753797,0,0.205731333172674,-1.10986361100049,-1.32026396575779
TP_40C_12SOC,40,313.15,0.125,12.5,408.99,2.99271617642372,0.999557094868572,0,0.205731333172674,-1.10986361100049,-1.29967143052556
TP_40C_12SOC,40,313.15,0.125,12.5,708.11,2.98544013760405,0.997126922478008,0,0.205731333172674,-1.10986361100049,-1.25301103253555
TP_40C_12SOC,40,313.15,0.125,12.5,1009.1,2.97978864751051,0.995239343874972,0,0.205731333172674,-1.10986361100049,-1.20605892906197
TP_40C_12SOC,40,313.15,0.125,12.5,1285.6,2.97389863273872,0.99327209883503,0,0.205731333172674,-1.10986361100049,-1.16292707547732
TP_40C_12SOC,40,313.15,0.125,12.5,1945,2.96540058932612,0.990433781037812,0,0.205731333172674,-1.10986361100049,-1.06006579427039
TP_40C_12SOC,40,313.15,0.125,12.5,2579.2,2.95745541845676,0.98778012080268,0,0.205731333172674,-1.10986361100049,-0.961135517440793
TP_40C_12SOC,40,313.15,0.125,12.5,3286.7,2.94958876741385,0.985152685924378,0,0.205731333172674,-1.10986361100049,-0.85077100962474
TP_40C_12SOC,40,313.15,0.125,12.5,3872.7,2.94295478130857,0.982936956971852,0,0.205731333172674,-1.10986361100049,-0.759359558627981
TP_40C_12SOC,40,313.15,0.125,12.5,4483,2.93677553882467,0.980873110852948,0,0.205731333172674,-1.10986361100049,-0.664157496267363
TP_40C_12SOC,40,313.15,0.125,12.5,5118.6,2.93062461836519,0.97881872419454,0,0.205731333172674,-1.10986361100049,-0.565008830305691
TP_40C_12SOC,40,313.15,0.125,12.5,5753.1,2.9244433250141,0.976754193092921,0,0.205731333172674,-1.10986361100049,-0.466031755804934
