cond_id,T_degC,T_K,SOC_store,SOC_pct,t_h,Q_Ah,SOH_init,EFC,source_col,T_degC_n,SOC_store_n,t_h_n,T_degC_trn,SOC_store_trn,t_h_trn
TP_40C_38SOC,40,313.15,0.375,37.5,10302,2.80979216184287,0.938885443689736,0,"TP_40°C,37.5%SOC",0.205731333172674,-0.369954537000163,0.243561331975196,0.205662051698013,-0.369829952205587,0.268167512549746
TP_60C_0SOC,60,333.15,0,0,13481,2.77635672741564,0.926665912536149,0,"TP_60°C,0%SOC",1.4775250291492,-1.47981814800065,0.739460654020753,1.47702746219482,-1.47931980882235,0.767688866634879
TP_40C_75SOC,40,313.15,0.75,75,15811,2.72176881017892,0.908270805918657,0,"TP_40°C,75%SOC",0.205731333172674,0.739909074000325,1.10292256668705,0.205662051698013,0.739659904411175,1.13380549293823
TP_40C_38SOC,40,313.15,0.375,37.5,13481,2.77892760931277,0.928572126039401,0,"TP_40°C,37.5%SOC",0.205731333172674,-0.369954537000163,0.739460654020753,0.205662051698013,-0.369829952205587,0.767688866634879
TP_40C_12SOC,40,313.15,0.125,12.5,14119,2.85396060159898,0.953213201531392,0,"TP_40°C,12.5%SOC",0.205731333172674,-1.10986361100049,0.838983701351695,0.205662051698013,-1.10948985661676,0.867938826970303
TP_40C_88SOC,40,313.15,0.875,87.5,9665.8,2.72020701628137,0.908797679722208,0,"TP_40°C,87.5%SOC",0.205731333172674,1.10986361100049,0.144319070671206,0.205662051698013,1.10948985661676,0.168200389093011
TP_40C_62SOC,40,313.15,0.625,62.5,1285.6,2.92869707391916,0.977775889282049,0,"TP_40°C,62.5%SOC",0.205731333172674,0.369954537000163,-1.16292707547732,0.205662051698013,0.369829952205587,-1.14859383912474
TP_10C_50SOC,10,283.15,0.5,50,17001,2.91567059126644,0.973466231442125,0,"TP_10°C,50%SOC",-1.70195921079212,0,1.28855332895009,-1.7013860640472,0,1.3207920960717
TP_40C_88SOC,40,313.15,0.875,87.5,10939,2.70498333282712,0.903711578511073,0,"TP_40°C,87.5%SOC",0.205731333172674,1.10986361100049,0.342928387068942,0.205662051698013,1.10948985661676,0.368260341285899
TP_40C_62SOC,40,313.15,0.625,62.5,160.33,2.97748395436287,0.994063895247552,0,"TP_40°C,62.5%SOC",0.205731333172674,0.369954537000163,-1.33846046022668,0.205662051698013,0.369829952205587,-1.32540931383734
