cond_id,T_degC,T_K,invTK,SOC_store,SOC_pct,t_h,sqrt_t,Q_Ah,SOH_init,dSOH,EFC,SOCc,SOCc2,source_col
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,21241,145.742924356553,2.9322348687875,0.978727165653315,0.0212728343466851,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,9031.6,95.0347304936464,2.95698458679776,0.984626424523397,0.015373575476603,0,0,0,"TP_0°C,50%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,1009.1,31.7663343809134,2.91257597932197,0.971944318762396,0.0280556812376038,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,13481,116.10770861575,2.77800720584352,0.929212033920196,0.0707879660798044,0,0,0,"TP_40°C,50%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,3872.7,62.2310212032552,2.85154885898853,0.951579197536503,0.048420802463497,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,15148,123.077211538123,2.94384772129291,0.982603326577105,0.0173966734228946,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,9665.8,98.3148005134527,2.96012435615525,0.98803617401875,0.0119638259812505,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,13481,116.10770861575,2.71689957775423,0.906978412669952,0.093021587330048,0,0.5,0.25,"TP_25°C,100%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,8300.1,91.1048846110899,2.83266275806325,0.946527599636864,0.0534724003631361,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,5118.6,71.5443918137543,2.78626992590091,0.930761671353449,0.069238328646551,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,1009.1,31.7663343809134,2.9419920624143,0.983059729599317,0.016940270400683,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,1945,44.1021541423999,2.98634665841445,0.996788706034598,0.00321129396540165,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,3872.7,62.2310212032552,2.96987421127762,0.99167697718633,0.00832302281367037,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,12211,110.503393613047,2.69099271008135,0.899037432237233,0.100962567762767,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,3872.7,62.2310212032552,2.80698209540622,0.937788484500802,0.0622115154991979,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,160.33,12.6621483169326,2.95096430652603,0.985778314051336,0.0142216859486642,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,20163,141.996478829582,2.59347190483089,0.866356924829565,0.133643075170435,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_25SOC,40,313.15,0.00319335781574325,0.25,25,12844,113.331372532058,2.82856550858766,0.943134088432127,0.0568659115678735,0,-0.25,0.0625,"TP_40°C,25%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,2579.2,50.7858247939324,2.87385462896296,0.959022768642008,0.0409772313579922,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_40C_25SOC,40,313.15,0.00319335781574325,0.25,25,0,0,2.99911279136341,1,0,0,-0.25,0.0625,"TP_40°C,25%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,12211,110.503393613047,2.95173609387575,0.982878764138893,0.0171212358611068,0,0,0,"TP_0°C,50%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,3872.7,62.2310212032552,2.88719039810577,0.965732578553232,0.034267421446768,0,0,0,"TP_40°C,50%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,1285.6,35.8552646064703,2.90306301233415,0.968769783820122,0.031230216179878,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,21241,145.742924356553,2.61548661491464,0.87381149771031,0.12618850228969,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,8300.1,91.1048846110899,2.74042249266808,0.915446201310016,0.0845537986899844,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,160.33,12.6621483169326,2.94530075268077,0.983999553747011,0.0160004462529887,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,7026.7,83.8254138075083,2.79855446179197,0.934237137179938,0.0657628628200625,0,0.5,0.25,"TP_25°C,100%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,708.11,26.6103363375963,2.97453973103945,0.993793662001793,0.00620633799820669,0,0,0,"TP_25°C,50%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,14695,121.22293512368,2.91709105994244,0.97405204352292,0.0259479564770803,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,17001,130.387882872604,2.94228911368106,0.982083091439549,0.0179169085604513,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,708.11,26.6103363375963,2.95351738009719,0.987918204893723,0.0120817951062772,0,0,0,"TP_40°C,50%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,17001,130.387882872604,2.64618295265436,0.884066879137847,0.115933120862153,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,7663.4,87.5408476084165,2.80185038637231,0.934994514955365,0.0650054850446354,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,1285.6,35.8552646064703,2.90677716969118,0.970364957519327,0.0296350424806725,0,0.5,0.25,"TP_25°C,100%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,5753.1,75.8491924808696,2.92429617488237,0.977007290939307,0.0229927090606933,0,0,0,"TP_25°C,50%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,14119,118.823398369176,2.94778239293184,0.981562247833256,0.018437752166744,0,0,0,"TP_0°C,50%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,0,0,2.99268902370095,1,0,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,13481,116.10770861575,2.92291858899488,0.975997926070148,0.0240020739298518,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,1945,44.1021541423999,2.9840553936869,0.993640550574383,0.00635944942561717,0,0,0,"TP_0°C,50%SOC"
TP_40C_25SOC,40,313.15,0.00319335781574325,0.25,25,408.99,20.2235011805572,2.98063243873549,0.993838060148609,0.00616193985139146,0,-0.25,0.0625,"TP_40°C,25%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,8300.1,91.1048846110899,2.96591064045195,0.989967531458652,0.0100324685413483,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,18239,135.051841897843,2.63674413411135,0.880913451350967,0.119086548649033,0,0.375,0.140625,"TP_40°C,87.5%SOC"
